id,companyId,agentName,carrier,originPort,originPortCode,pickupLocation,destinationPort,destinationPortCode,deliveryLocation,rate,currency,validUntil,comments,chassis,overweight,deliveryZip,pickupZip,transitTime,freeTime,freightType,isAllIn,pickupCost,oceanCost,deliveryCost,portFees,status,containerCount,deconsolidation,container_return,bl_release,thc,isps,trs,security_fee,observation
FQ1765154150119,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Santos,BRSSZ,,2457,USD,2026-01-30,,0,0,,29302,34,14,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765154512218,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Itapoa,BRIOA,,2347,USD,2026-01-30,,0,0,,29302,30,15,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765154796716,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Buenos Aires,ARBUE,,2407,USD,2026-01-07,,0,0,,29302,30,14,DOOR_PORT,true,0,0,0,0,EXPIRED,1,0,0,0,0,0,0,0,
FQ1765154952873,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Antwerp,BEANR,,1937,USD,2026-01-07,,0,0,,29302,30,14,DOOR_PORT,true,0,0,0,0,EXPIRED,1,0,0,0,0,0,0,0,
FQ1765155097492,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Valencia,ESVLC,,2857,USD,2026-01-07,,0,0,,29302,30,14,DOOR_PORT,true,0,0,0,0,EXPIRED,1,0,0,0,0,0,0,0,
FQ1765155234573,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Gothenburg,SEGOT,,2657,USD,2026-01-07,,0,0,,29302,30,14,DOOR_PORT,true,0,0,0,0,EXPIRED,1,0,0,0,0,0,0,0,
FQ1765155441626,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Gebze,TRGEB,,3687,USD,2026-01-07,,0,0,,29302,30,14,DOOR_PORT,true,0,0,0,0,EXPIRED,1,0,0,0,0,0,0,0,
FQ1765155674895,COMP1764818591026,INFINITY,,Charleston,USCHS,"200 Curtis Harley Drive, Spartanburg, SC",Penang,MYPEN,,2657,USD,2026-01-07,,0,0,,29302,30,14,DOOR_PORT,true,0,0,0,0,EXPIRED,1,0,0,0,0,0,0,0,
FQ1765162161450,COMP1764818591026,INTERGLOBO,,Houston,USHOU,"Houston, TX",Manaus,BRMAO,,3100,USD,2026-01-31,,150,100,,77020,0,0,DOOR_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765204869878,COMP1764818591026,INFINITY,,Houston,HOU,"Houston, TX",Manaus,MAO,,2780,USD,2026-01-30,"*Transit time: 49 days
Cut-off: 12/12/25",0,0,,,32,21,PORT_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
FQ1765205250975,COMP1764818591026,INFINITY,,Houston,HOU,"Houston, TX",Manaus,MAO,,2780,USD,2026-01-30,"* Transit Time: 21 dias
Cut-Off: 12/23/25",0,0,,,21,21,PORT_PORT,true,0,0,0,0,ACTIVE,1,0,0,0,0,0,0,0,
